Número de Extracto,Fecha Contable,Estado,Referencia,Fecha Efectiva,Descripción,Tipo,Monto,Banco,Cuenta Bancaria,Cuenta Contable,Sub-cuenta,Código de Transacción,Divisa
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D59900001,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,48343.64,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,C10000181,2026-03-10,LIQUIDACION T CREDITO VS MC BD-LIQUIDACION T CREDITO VS MC BD,CREDIT,4864.2,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017430,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D10800724,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,19386.22,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D10800106,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,6797.41,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D10800635,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,12771.38,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D11500006,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,2753.12,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D11500441,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,2499.33,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D11600531,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,14595.91,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D12900423,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,9977.35,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D12900422,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,81630.23,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13200731,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,179082.38,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13400474,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,78375.27,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13400378,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,26314.11,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13400890,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,8728.5,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13500935,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,21496.28,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13500710,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,5799.25,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13600660,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,21233.28,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13700863,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,106610.36,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13700208,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,28317.08,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,C13700008,2026-03-10,LIQ TARJETA DEBITO ELECTRON BD-LIQ TARJETA DEBITO ELECTRON BD,CREDIT,298.74,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017426,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,C13700008,2026-03-10,LIQUIDACION T CREDITO VS MC BD-LIQUIDACION T CREDITO VS MC BD,CREDIT,24219.49,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017430,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D13900291,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,29165.54,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D14200216,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,12467.34,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
P-8 2026 10 al 10 30,2026-04-30,UNRECONCILED,D14200628,2026-03-10,LIQ TARJETA DEBITO MAESTRO BDV-LIQ TARJETA DEBITO MAESTRO BDV,CREDIT,15906.89,VENEZUELA MERCHANT,01020684710000014766,110108,0006,CD-0017425,VES
